iso3,ulke,kisi_basi_gsyh,gsyh_buyume,enflasyon,issizlik,ihracat_gsyh,yasam_beklentisi,internet_kullanimi,kentlesme
TUR,Türkiye,12986,4.5,53.9,9.4,32.3,76.0,86.5,77.0
USA,ABD,81695,2.5,4.1,3.6,11.8,79.3,91.8,83.3
DEU,Almanya,52746,-0.3,6.0,3.0,47.1,80.7,91.4,77.8
GBR,Birleşik Krallık,48867,0.1,7.3,4.0,32.2,80.7,95.3,84.6
FRA,Fransa,44461,0.7,4.9,7.3,34.3,82.3,86.1,81.5
ITA,İtalya,38373,0.9,5.6,7.7,35.0,82.9,85.1,71.7
ESP,İspanya,32677,2.5,3.5,12.1,38.4,83.2,94.5,81.6
NLD,Hollanda,62536,0.1,3.8,3.6,86.3,81.7,97.1,93.2
CHE,İsviçre,99995,0.7,2.1,4.0,75.4,83.9,95.6,74.1
SWE,İsveç,56305,-0.2,5.9,7.7,54.2,83.1,95.8,88.5
NOR,Norveç,87962,0.5,5.5,3.6,47.3,83.3,99.0,83.7
POL,Polonya,22113,0.2,11.4,2.8,57.5,78.5,87.0,60.1
GRC,Yunanistan,23401,2.0,3.5,11.1,44.9,81.0,86.1,80.6
RUS,Rusya,13817,3.6,5.9,3.2,23.1,73.2,92.2,75.3
UKR,Ukrayna,5181,5.3,12.9,14.5,28.6,73.4,79.2,70.1
CHN,Çin,12614,5.2,0.2,4.7,19.7,78.6,77.5,64.6
JPN,Japonya,33834,1.9,3.3,2.6,21.8,84.7,86.2,92.0
KOR,Güney Kore,33121,1.4,3.6,2.7,44.0,84.3,97.2,81.5
IND,Hindistan,2485,7.6,5.7,4.2,21.9,67.7,48.7,36.4
IDN,Endonezya,4940,5.0,3.7,3.4,21.7,68.8,69.2,58.6
SAU,Suudi Arabistan,28895,-0.8,2.3,4.4,34.6,77.9,100.0,84.9
ARE,BAE,49041,3.4,1.6,2.7,93.5,79.2,100.0,87.5
ISR,İsrail,52262,2.0,4.2,3.4,30.8,82.7,90.1,92.8
QAT,Katar,80195,1.2,3.1,0.1,67.7,79.3,100.0,99.4
EGY,Mısır,3512,3.8,33.9,7.3,19.0,70.2,72.2,43.1
NGA,Nijerya,1621,2.9,24.7,3.1,9.2,53.6,35.5,53.5
ZAF,Güney Afrika,6253,0.6,5.9,28.0,33.0,65.3,74.7,68.3
ETH,Etiyopya,1294,7.2,30.2,3.4,7.0,67.3,19.4,23.2
KEN,Kenya,1950,5.6,7.7,5.6,11.6,63.7,40.8,29.5
MAR,Fas,3672,3.4,6.1,9.5,43.3,75.0,90.7,65.1
BRA,Brezilya,10044,2.9,4.6,8.0,18.1,75.8,84.2,87.8
MEX,Meksika,13926,3.2,5.5,2.8,35.9,75.1,81.2,81.6
ARG,Arjantin,13651,-1.6,133.5,6.2,12.4,77.7,89.2,92.5
COL,Kolombiya,6980,0.6,11.7,10.1,17.7,73.7,75.7,82.4
CHL,Şili,17093,0.2,7.6,8.7,31.4,81.2,94.1,87.9
PER,Peru,7790,-0.6,6.3,4.8,26.5,77.7,77.3,78.9
CAN,Kanada,53372,1.2,3.9,5.4,33.4,81.7,93.8,81.9
AUS,Avustralya,64821,2.0,5.6,3.7,26.7,83.2,96.2,86.6
NZL,Yeni Zelanda,48528,0.6,5.7,3.7,24.0,82.1,95.9,87.1
PAK,Pakistan,1407,-0.2,30.8,5.5,10.4,66.4,32.5,37.7
BGD,Bangladeş,2529,5.8,9.9,4.7,13.2,72.4,44.5,40.5
VNM,Vietnam,4347,5.0,3.3,1.6,87.2,73.6,78.6,39.0
THA,Tayland,7172,1.9,1.2,0.9,65.4,79.7,89.5,53.6
MYS,Malezya,11649,3.6,2.5,3.4,68.5,76.3,97.4,78.3
PHL,Filipinler,3726,5.5,6.0,2.2,26.6,69.8,75.2,48.0
KAZ,Kazakistan,13137,5.1,14.7,4.8,38.0,74.4,92.9,58.1
AZE,Azerbaycan,7155,1.1,8.8,5.5,48.2,74.4,88.2,57.3
ROU,Romanya,18419,2.1,10.4,5.6,39.1,76.6,89.0,54.5
CZE,Çekya,30427,-0.1,10.7,2.6,71.0,79.8,88.2,74.6
HUN,Macaristan,22147,-0.9,17.1,4.1,81.1,76.7,91.4,72.8
